Lable,Topic,Text
1,Have to give it a 2 out of 5,"I love GG! This is a bootleg gone public. Lousy sound quality with extra noises and stuff from the BAD recorder. GG is close to flawless though, which is why it gets a two. On spin? No comment..."
1,Didn't last as long as an incandescent lightbulb,"As other reviewers experienced, this drive was superb in its performance, reading and writing anything which could be thrown at it. In this sense, the best burner I ever plugged into my system. Unfortunately, as other reviewers also experienced, its durability is simply inadequate, making it a poor value for its price. Mine lasted 4 days beyond the end of the warrantee period. To their credit, the company still honored the warrantee, but only after considerable difficulty communicating with them. Only a computer tech friend was able to contact them effectively in order to make the arrangements -- not adequate support. I was without the drive for nearly a month by the time all of this got done.SIMPLY NOT GOOD ENOUGH."
1,Great while it lasted,"I agreed with the other reviewers and would have given this drive 5 stars if I had written a review earlier. It installed perfectly and ran faultless and quietly, for the first two months. Then it stopped working and refused to recognise there was even a DVD in the drive. The breakdown was sudden. It wrote a DVD and then it stopped recognising any disks. I tried it in another machine with the same problem so it is the hardware.I wont pretend that my experience is typical but it may have something to do with the fact that this is a cheap drive and maybe you really do get what you pay for. I'm not trying to put you off this drive but if you do a lot of DVD writing then maybe a better drive might work longer."
1,Received Defective Item,"We've learn the lesson. When we received the package we didn't open the box and test it! By the time we open the box to use the catridge and found out that it is defective, the warranty already expired! So, the seller refused to exchange it for us."
1,Low Cost but Terrible Quality,"There is a stripe running down the middle of every page, the ink is inconsistent (leaves streaks, dark and light spots) and prints some material illegibly.Tried a second cartridge with the same results.Contacted seller and their response was:""Unfortunately the problem may be that you let the cartridges sit for too long, as they do have a shelf life. t this point there is not much assistance we can offer""I suggest that they send cartridges that sat on the shelf too long or they are just poor quality. I bought these in November and used them in March - a 4month shelf life, hmmm, that's not mentioned anywhere - in fact on end of the box there is a ""Use Before"" date that is blank.I'll never buy these again."
1,Review of Brother Black Toner (TN-350),Brother Black Toner Cartridge (TN-350)I ordered the Brother Black Toner TN-350 and received TN instead which does not fit in my printer! Reported this to Amazon - but have not had a response! Unhappy.
1,Do not ask me to review,Please do not ask me to review.I did not even get the product.I had to wait a month to file a complaint.Now I have to wait 2 weeks to get a response.This is utter nonsense.You took money out of my credit card.Shame on you for acting so slow.Kick that seller out of you site.The seller does not even respond.
1,Extremely Bad - Don't Buy This Book!!!,"I saw this author interviewed in a documentary about Edgar Cayce and I was intrigued enough to buy the book they referenced. Boy was I disappointed. There are hardly any direct quotes from Cayce and Thurston's interpretations are really ridiculous. Did you know that Atlantis didn't exist in the past and Cayce was confusing the past and the future, so his memories of Atlantis are actually predictions of a future civilization? Ideas like this and the fact that the book is really about Thurston's own ideas and not really about Cayce at all made me really angry that I wasted money on this thing."
1,"Does not deliver, in any way","This book does not live up to its title. No, I'm not a sceptic when it comes to prophecies, astrology or any other paranormal subject for that mather. But not a naive believer either.Therefore, reading this book, I couldn't help but finding myself being more and more desillusionated turning each page. The author hardly mentions any predictions. And when he does, he sticks to vague generalities.Certainly, Cayce explained that future events are largely dependent on human choice, therefore not set and outlined, but dynamic and can to some extend not be foreseen.Yet, I for one would at least have expected facts straight from the 14+ thousand predictions in the great Cayce archive. But you will not find any of that.So, if you want to read about Cayce's predictions, don't buy this book. It's a waste of your time and money."
1,A bit disappointing,"I should have known not to order a book that lacks the 'look inside' feature, but Ortho books are usually very good. This book was disappointing (to me, at least) for the following reasons: too basic, not enough information, and it does NOT include photograghs of the finished landscapes. Mostly I just do not like the illustrations--fuzzy chalk drawings that are hard on the eyes and lack definition. Selected ideas for building fences, pergolas, etc. consist of simple line drawings and no detailed instructions. Sorry Ortho, I've seen better."
1,Very few if any actual Cayce predictions,"This is an inspirational book a la Thurston. For me, the problem was that about 95% of the book is the author's words, with a very occasional quotation from Cayce. Also surprisingly, very little in the way of actual predictions for the 21st century. Not sure how the publisher arrived at the title for the book, perhaps to sell it?"
1,He has done better in the past,"I saw him do another stand up video where he talks about going into Harlem to visit his black girlfriend. That video was great, but this one was just average.I like it that he has an edgy style. But there are at least 2 times in this video where he sounds too angry or too annoyed.He definitely has the talent and creativity to be better and even be innovative. This video is not a good example of his talent."
1,Great but not durable,"I bought this DVD burner in Oct 05. It worked very well for the most part. Sometimes it had trouble reading DVDs and I had to open and reload several times, but when working, it worked great. Then in Oct 07 it stopped opening. I could hear it trying to get the drawer open, but it remained closed. I did not want to have to replace this after only 2 years, but I have no choice. I would not buy this item again nor would I recommend it to others."
